Celebrate_Thanksgiving,main_dish,turkey_cooked?,living_situation,Age,gender,Income,US Region
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$150,000 to $174,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Male,"$25,000 to $49,999",East South Central
Yes,Turkey,Roasted,Rural,60+,Male,"$25,000 to $49,999",East North Central
Yes,Turkey,Roasted,Rural,30 - 44,Male,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Male,Prefer not to answer,Pacific
No,,,,18 - 29,Female,"$75,000 to $99,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Rural,30 - 44,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Baked,Suburban,60+,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Suburban,,,,
No,,,,18 - 29,Female,"$0 to $9,999",South Atlantic
Yes,Turkey,Other (please specify),Suburban,45 - 59,Female,"$100,000 to $124,999",Pacific
Yes,Turkey,Roasted,Suburban,60+,Female,"$125,000 to $149,999",Middle Atlantic
No,,,,18 - 29,Female,Prefer not to answer,East South Central
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$100,000 to $124,999",Mountain
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$50,000 to $74,999",West South Central
Yes,Turkey,Baked,Suburban,60+,Female,"$10,000 to $24,999",East South Central
Yes,Ham/Pork,Baked,Suburban,30 - 44,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Other (please specify),,,,,
Yes,Other (please specify),Other (please specify),Urban,45 - 59,Male,"$175,000 to $199,999",Pacific
Yes,Turkey,Baked,Urban,30 - 44,Female,"$125,000 to $149,999",Pacific
Yes,Turkey,Baked,Urban,60+,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Other (please specify),Suburban,45 - 59,Male,"$75,000 to $99,999",Pacific
Yes,Turkey,Baked,Urban,60+,Female,"$25,000 to $49,999",South Atlantic
No,,,,60+,Male,Prefer not to answer,
Yes,Turkey,Baked,Rural,60+,Male,Prefer not to answer,Pacific
Yes,Roast beef,Baked,Urban,45 - 59,Female,"$10,000 to $24,999",Pacific
Yes,I don't know,I don't know,,,,,
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$100,000 to $124,999",West South Central
Yes,Turkey,Roasted,Urban,60+,Female,"$75,000 to $99,999",Pacific
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$175,000 to $199,999",East North Central
Yes,Turkey,Roasted,Suburban,60+,Male,"$75,000 to $99,999",Middle Atlantic
No,,,,60+,Male,Prefer not to answer,Pacific
Yes,Turkey,Roasted,Suburban,60+,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$10,000 to $24,999",Pacific
Yes,Ham/Pork,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",West North Central
No,,,,18 - 29,Male,Prefer not to answer,Pacific
Yes,Turkey,Baked,Urban,30 - 44,Male,"$75,000 to $99,999",East South Central
Yes,Turkey,Other (please specify),Suburban,30 - 44,Female,Prefer not to answer,Pacific
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$25,000 to $49,999",East North Central
No,,,,30 - 44,Female,"$50,000 to $74,999",Pacific
Yes,Other (please specify),Baked,Suburban,30 - 44,Female,"$10,000 to $24,999",Pacific
Yes,Turkey,Baked,Suburban,60+,Male,"$100,000 to $124,999",Pacific
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$75,000 to $99,999",East South Central
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$50,000 to $74,999",New England
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$25,000 to $49,999",West South Central
Yes,Turkey,Baked,Rural,45 - 59,Female,"$125,000 to $149,999",Mountain
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Suburban,60+,Male,"$25,000 to $49,999",West North Central
Yes,Turkey,I don't know,Suburban,30 - 44,Male,"$75,000 to $99,999",Pacific
Yes,Turkey,Baked,Urban,18 - 29,Male,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Baked,Suburban,60+,Male,"$75,000 to $99,999",West North Central
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Roasted,Rural,60+,Male,"$125,000 to $149,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$125,000 to $149,999",Pacific
No,,,,18 - 29,Male,"$0 to $9,999",
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$100,000 to $124,999",Mountain
Yes,Turkey,Baked,Suburban,60+,Female,"$50,000 to $74,999",Pacific
Yes,Other (please specify),Baked,Urban,60+,Male,"$100,000 to $124,999",Pacific
Yes,Turkey,Baked,,,,,
Yes,Turkey,Baked,,,,,
